,df_index,facility_title,address,google_latitude,google_longitude,yandex_latitude,yandex_longitude,distance_km,yandex_address,yandex_precision,facility_type
15,906,Латыголичский ФАП,"ул. Школьная, 5, 211152, д. Латыголичи, Чашникский р-н, Витебская обл.",54.6233751,28.7074704,54.616455,28.70924,0.7778685417107397,"Беларусь, Витебская область, Чашникский район, Краснолукский сельсовет, деревня Латыголичи, Школьная улица, 5",exact,
16,1459,Прудокский ФАП,"213261, д. Прудок, Славгородский р-н, Могилевская обл.",53.4431333,31.0002931,53.357217,30.778977,17.508640906485518,"Беларусь, Могилёвская область, Славгородский район, Свенский сельсовет, деревня Прудок",other,
17,928,Лешнянский ФАП,"д. Лешня, Копыльский р-н, Минская обл.",53.0112202,26.9922938,53.0085,26.997222,0.4474380019547341,"Беларусь, Минская область, Копыльский район, Блевчицкий сельсовет, деревня Лешня",other,
18,1922,ФАП д. Роза- Люксембург,"247822, д. Роза-Люксембург, Ельский р-н, Гомельская обл.",51.685703,29.1540422,51.687137,29.152927,0.1770190125779544,"Беларусь, Гомельская область, Ельский район, Добрынский сельсовет, деревня Роза Люксембург",other,
19,1752,Стрельцовский ФАП,"ул. Молодежная, 22а, д. Стрельцы, Мостовский р-н, Гродненская обл.",53.2665304,24.6737044,53.427508,24.572319,19.12323036085365,"Беларусь, Гродненская область, Мостовский сельсовет, деревня Большие Степанишки, Молодёжная улица, 22",number,
20,630,Зеленовский ФАП,"ул. Главна, 3, 225332, д. Зеленая, Барановичский р-н, Брестская обл.",53.3603039,25.969537,53.361173,25.968651,0.11311882726393627,"Беларусь, Брестская область, Барановичский район, Городищенский сельсовет, деревня Зелёная, Главная улица, 3",exact,
21,1376,Поварчицкий ФАП,"ул. Школьная, 1, 223730, д. Поварчицы, Солигорский р-н, Минская обл.",52.7117249,27.3855285,52.710947,27.393702,0.557363420580751,"Беларусь, Минская область, Солигорский район, Старобинский сельсовет, деревня Поварчицы, Школьная улица, 1",exact,
22,1381,Погорельцевский ФАП,"д. Погорельцы, Несвижский р-н, Минская обл.",53.2034785,26.3054843,53.204865,26.304711,0.16254697233389506,"Беларусь, Минская область, Несвижский район, Сновский сельсовет, деревня Погорельцы",other,
23,445,Докудовский ФАП,"ул. Полевая, 61А3, д. Докудово, Крупский р-н, Минская обл.",53.8756443,27.5824484,54.327756,28.897482,99.38814883104533,"Беларусь, Минская область, Крупский район, Хотюховский сельсовет, агрогородок Докудово, Полевая улица, 61А",number,
24,1442,Приборский ФАП,"247361, д. Совхозное, Буда-Кошелевский р-н, Гомельская обл.",52.93891259999999,30.5445748,52.736478,30.568394,22.566488412275987,"Беларусь, Гомельская область, Буда-Кошелёвский район",other,
25,646,Зубревичский ФАП,"ул. Молодежная, 17, 210005, д. Зубревичи, Оршанский р-н, Витебская обл.",54.40440520000001,30.2131271,54.434339,30.451837,15.798777678100048,"Беларусь, Витебская область, Оршанский район, агрогородок Бабиничи, Молодёжная улица, 17",exact,
26,1601,Сеньковский ФАП,"211451, д. Сеньково, Верхнедвинский р-н, Витебская обл.",55.7811663,27.9335835,56.020506,27.965318,26.686786063571247,"Беларусь, Витебская область, Верхнедвинский район, Освейский сельсовет, деревня Сеньково",other,
27,1211,Новоселковский ФАП,"247128, ул. Октябрьская, 23, д. Новоселки, Ветковский р-н, Гомельская обл.",52.61228,31.0837111,52.562115,31.174577,8.294437110287348,"Беларусь, Гомельская область, Ветка, Октябрьская улица, 23",exact,
28,1869,ФАП аг. Рясна,"ул. Юбилейная, 1а, 225088, д. Рясно, Каменецкий р-н, Брестская обл.",52.3945221,23.4084974,52.392808,23.407644,0.1992016983419441,"Беларусь, Брестская область, Каменецкий район, агрогородок Рясна, Юбилейная улица, 1А",exact,
29,130,Борунский ФАП,"ул. Школьная, 4, 211989, д. Боруны, Браславский р-н, Витебская обл.",55.641541,27.035239,55.741662,26.962834,12.022294734376986,"Беларусь, Витебская область, Браславский район, Плюсский сельсовет, деревня Боруны, Школьная улица, 6",near,
30,71,Березняковский ФАП,"ул. Ленинская, 247968, д. Березняки, Житковичский р-н, Гомельская обл.",52.0291711,27.6370072,52.491898,27.497898,52.31666200671848,"Беларусь, Гомельская область, Житковичский район, Милевичский сельсовет, деревня Березняки",other,
31,2020,Чигиринский ФАП,"ул. Друтская, 34, д. Чигиринка, Кировский р-н, Могилевская обл.",53.42226729999999,29.8461046,53.4216,29.846283,0.07513613766121564,"Беларусь, Могилёвская область, Кировский район, Стайковский сельсовет, деревня Чигиринка, Друтская улица, 34",exact,
32,285,Вязьевский ФАП,"ул. Центральная, 18, 213711, д. Вязье, Осиповичский р-н, Могилевская обл.",53.3264582,28.645429,53.383205,28.754812,9.618500972093106,"Беларусь, Могилёвская область, Осиповичский район, Центральная улица, 16",near,
33,2055,Шуневский ФАП,"211801, д. Шуневцы, Глубокский р-н, Витебская обл.",55.1545664,27.6279962,55.150257,27.625818,0.4987683232237737,"Беларусь, Витебская область, Глубокский район, Коробовский сельсовет, деревня Шуневцы",other,
34,2080,Якшанский ФАП,"ул. Октябрьская, 20, 225803, д. Якша, Ивановский р-н, Брестская обл.",52.164282,25.73614,52.164282,25.73614,0.0,"Беларусь, Брестская область, Ивановский район, Бродницкий сельсовет, деревня Якша, Октябрьская улица, 20",exact,
35,704,Каменский ФАП,"ул. Советская, 21, 247758, д. Каменка, Мозырский р-н, Гомельская обл.",52.0593143,29.2412936,52.058815,29.241321,0.055551221094398265,"Беларусь, Гомельская область, Мозырь, Советская улица, 21",exact,
36,1556,Саковичский ФАП,"ул. Набережная, 1а, 223727, д. Саковичи, Солигорский р-н, Минская обл.",52.7868229,27.5536901,52.731489,27.608427,7.17108353684422,"Беларусь, Минская область, Солигорский район, Старобинский сельсовет, деревня Саковичи, Набережная улица, 1А",exact,
37,1338,Первомайский ФАП,"Первомайский с/с, 211569, д. Вархи, Городокский р-н, Витебская обл.",55.57537019999999,29.9750023,55.57606,29.974589,0.0809827547539561,"Беларусь, Витебская область, Городокский район, Первомайский сельсовет, агрогородок Вархи",other,
38,1017,Майзоровский ФАП,"ул. Народная, д. 1, 223225, д. Майзорово, Червенский р-н, Минская обл.",53.6480097,28.469566,53.648265,28.470369,0.06005839710817416,"Беларусь, Минская область, Червенский сельсовет, деревня Майзорово, Народная улица, 1",exact,
39,432,Добригорский ФАП,"д. Добрыгоры, Бешенковичский р-н, Витебская обл.",55.0329432,29.57869569999999,54.997709,29.493577,6.693179641782002,"Беларусь, Витебская область, Бешенковичский район",other,
40,607,Зарубецкий ФАП,"213516, д. Зарубец, Кричевский р-н, Могилевская обл.",53.7595506,31.8620429,53.759549,31.862021,0.0014505633273402254,"Беларусь, Могилёвская область, Кричевский район, Краснобудский сельсовет, деревня Зарубец",other,
41,1729,Старосельский ФАП,"213421, д. Староселье, Горецкий р-н, Могилевская обл.",54.397143,31.1629524,54.393544,31.161165,0.41658284275265123,"Беларусь, Могилёвская область, Горецкий район, Ленинский сельсовет, деревня Староселье",other,
42,243,Волковичский ФАП,"ул. Центральная, 7, 213232, д. Волковичи, Чаусский р-н, Могилевская обл.",53.8168762,30.669875,53.877417,30.907148,16.958144424411923,"Беларусь, Могилёвская область, Чаусский район, агрогородок Каменка, Центральная улица, 7",exact,
43,111,Большешиловичский ФАП,"231821, д. Большие Шиловичи, Слонимский р-н, Гродненская обл.",53.03196699999999,25.3760002,53.032426,25.380973,0.33641956977035603,"Беларусь, Гродненская область, Слонимский район, Деревянчицкий сельсовет, агрогородок Большие Шиловичи",other,
44,1471,Путришский ФАП,"ул. Интернациональная, 231750, д. Путришки, Гродненский р-н, Гродненская обл.",53.6983667,23.9527344,53.699104,23.951017,0.13965480552450057,"Беларусь, Гродненский район, агрогородок Путришки, Интернациональная улица",street,
45,354,Городищенский ФАП,"ул. Садовая, 41, д. Городище, Слуцкий р-н, Минская обл.",53.1005088,27.5752198,53.102762,27.571048,0.37462331615148914,"Беларусь, Минская область, Слуцкий район, Бокшицкий сельсовет, деревня Городище, Садовая улица, 41",exact,
46,1825,Турковский ФАП,"ул. Жлобинская, 23, 213836, д. Турки, Бобруйский р-н, Могилевская обл.",53.04480909999999,29.6062472,53.044869,29.606244,0.006664010416571766,"Беларусь, Могилёвская область, Бобруйский район, Воротынский сельсовет, деревня Турки, Жлобинская улица, 23",exact,
47,798,Копаткевичский ФАП,"ул. Центральная, 1, 247920, д. Тремля, Петриковский р-н, Гомельская обл.",52.26838249999999,28.8675131,52.265409,28.86791,0.3317394173535847,"Беларусь, Гомельская область, Петриковский район, Копаткевичский сельсовет, посёлок Тремля, Центральная улица, 1",exact,
48,2078,Якубовский ФАП,"ул. Центральная, 5, 211042, д. Якубово, Дубровенский р-н, Витебская обл.",54.5986527,30.5703497,54.635845,31.023399,29.46161046472459,"Беларусь, Витебская область, Дубровенский район, Волевковский сельсовет, урочище Бель, Центральная улица, 5А",number,
49,1946,Хвоенский ФАП,"247612, д. Хвойное, Хойникский р-н, Гомельская обл.",51.8599755,29.9053868,51.964797,29.814806,13.208202290718134,"Беларусь, Гомельская область, Хойникский район, Алексичский сельсовет, деревня Хвойное",other,
50,413,Демеховский ФАП,"ул. Центральная, 73а, 247531, д. Демехи, Речицкий р-н, Гомельская обл.",52.3276682,30.2017164,52.327817,30.205807,0.27847318690077094,"Беларусь, Гомельская область, Речицкий район, Солтановский сельсовет, деревня Демехи, Центральная улица, 73А",exact,
51,1123,Мостищенский ФАП,"231417, д. Мостище, Новогрудский р-н, Гродненская обл.",53.6720143,25.8523354,53.671881,25.853595,0.08428681454408428,"Беларусь, Гродненская область, Новогрудский район, Вселюбский сельсовет, деревня Мостище",other,
52,2000,Черемушский ФАП,"213118, д. Черемушки, Кадинский с/с, Могилевский р-н, Могилевская обл.",53.889378,30.6125484,53.885342,30.460497,9.974858024657712,"Беларусь, Могилёвский район, Кадинский сельсовет, деревня Черёмушки",other,
53,30,Бабичский ФАП,"ул. Мастрюкова, 17, 247534, д. Бабичи, Речицкий р-н, Гомельская обл.",52.29445949999999,30.0057943,52.261645,30.00356,3.6519707142968683,"Беларусь, Гомельская область, Речицкий район, Бабичский сельсовет, хутор Бабичи",other,
54,1487,Раевский ФАП,"ул. Ленина, 17а, 222332, д. Раевка, Молодеченский р-н, Минская обл.",53.89844290000001,27.5619468,54.305614,27.22552,50.3087088537096,"Беларусь, Минская область, Молодечненский район, Чистинский сельсовет, деревня Раёвка, улица Ленина, 17А",exact,
55,301,Гиженский ФАП,"213242, д. Гиженка, Славгородский р-н, Могилевская обл.",53.5731502,31.0543643,53.572979,31.051319,0.2019718795329234,"Беларусь, Могилёвская область, Славгородский район, агрогородок Гиженка",other,
56,1353,Пересудовичский ФАП,"п/о Высокое, ул. Кирова, 5, 225217, д. Высокое, Березовский р-н, Брестская обл.",52.3662105,23.3767751,52.401243,25.111209,117.77774917214529,"Беларусь, Брестская область, Берёзовский район, Стригинский сельсовет, деревня Высокое, улица Кирова, 5",exact,
57,294,Ганцевичский ФАП,"ул. Залинейная, 20, 225447, д. Ганцевичи, Ганцевичский р-н, Брестская обл.",52.739513,26.4562724,52.741162,26.455071,0.20040570339901723,"Беларусь, Брестская область, Ганцевичский район, Любашевский сельсовет, деревня Ганцевичи, Залинейная улица, 20",exact,
58,1978,Хотюховский ФАП,"д. Хотюхово, Крупский р-н, Минская обл.",54.4331221,28.8854445,54.436413,28.834843,3.2930087658190677,"Беларусь, Минская область, Крупский район, Хотюховский сельсовет, деревня Малое Хотюхово",other,
59,68,Бенинский ФАП,"ул. Приозерная, 7а, 231415, д. Бенин, Новогрудский р-н, Гродненская обл.",53.7519262,25.8365158,53.754194,25.835808,0.25642567068170596,"Беларусь, Гродненская область, Новогрудский район, Вселюбский сельсовет, агрогородок Бенин, Приозёрная улица, 7",number,
60,755,Ковальский ФАП,"ул. Первомайская, 3, 225151, д. Юндилы, Пружанский р-н, Брестская обл.",52.8756254,25.0465935,52.876307,25.046171,0.08092071873074305,"Беларусь, Брестская область, Пружанский район, Ружанский сельсовет, деревня Юндилы",other,
61,2041,Шерстинский ФАП,"ул. Колхозная, 37, 247123, аг. Шерстин, Ветковский р-н, Гомельская обл.",52.6540315,31.0536182,52.653897,31.058622,0.3378569223655215,"Беларусь, Гомельская область, Ветковский район, Приснянский сельсовет, агрогородок Шерстин, Колхозная улица, 37",exact,
62,358,Гороховичский ФАП,"ул, Первомайская, 33, 247306, д. Гороховичи, Октябрьский р-н, Гомельская обл.",52.6306551,28.8695881,52.541094,29.074432,17.049773448122725,"Беларусь, Гомельская область, Октябрьский район, Первомайская улица, 33",exact,
63,1698,Станиславский ФАП,"ул. Садовая, 19, 211712, д. Станиславцы, Докшицкий р-н, Витебская обл.",54.9507922,27.9055056,54.891313,27.413762,32.11287259153702,"Беларусь, Витебская область, Докшицкий район, Волколатский сельсовет, деревня Станиславцы, Садовая улица, 19",exact,
64,1746,Сторожовецкий ФАП,"ул. Советская, 3, 247990, д. Сторожовцы, Житковичский р-н, Гомельская обл.",52.32750069999999,30.4631627,52.032943,27.783823,185.58555586350715,"Беларусь, Гомельская область, Житковичский район, Ричёвский сельсовет, деревня Сторожовцы, Советская улица, 3",exact,
65,1361,Петковичский ФАП,"ул. Встречная, 27а, 225365, д. Петковичи, Барановичский р-н, Брестская обл.",53.1378993,26.0252475,53.313863,26.357262,29.5180637505128,"Беларусь, Брестская область, Барановичский район, Крошинский сельсовет, деревня Петковичи, Встречная улица, 27А",exact,
66,2064,Юркевичский ФАП,"ул. Мира, 1-а, 247993, д. Юркевичи, Житковичский р-н, Гомельская обл.",52.215027,27.8802614,52.311038,27.611149,21.199012143925952,"Беларусь, Гомельская область, Житковичский район, Юркевичский сельсовет, деревня Юркевичи",other,
67,1819,Туловский ФАП,"д. Тулово, Витебский р-н, Витебская обл.",55.203093,30.2915144,55.29964,30.445711,14.51751972668881,"Беларусь, Витебский район",other,
68,853,Кривоносовский ФАП,"222914, ул. Советская, 18, д. Кривоносы, Стародорожский р-н, Минская обл.",52.888067,28.387143,52.887887,28.390204,0.20634247834098354,"Беларусь, Минская область, Стародорожский район, Положевичский сельсовет, деревня Кривоносы, Советская улица, 18",exact,
69,1988,Цыпковский ФАП,"д. Цыпки, Сенненский р-н, Витебская обл.",54.8260258,30.1768097,54.825244,30.173979,0.20108464334774206,"Беларусь, Витебская область, Сенненский район, Богушевский сельсовет, деревня Цыпки",other,
70,52,Безуевский ФАП,"247560, д. Безуев, 98 Речицкий р-н, Гомельская обл.",52.2698141,30.3479172,52.26978,30.347983,0.005867209704621891,"Беларусь, Гомельская область, Речицкий район, Ровенскослободский сельсовет, деревня Безуев",other,
71,575,Залесский ФАП,"ул. Советская, 2, 247160, д. Залесье, Чечерский р-н, Гомельская обл.",52.9156246,30.9157513,52.862364,31.175026,18.37543400385209,"Беларусь, Гомельская область, Чечерский район, Нисимковичский сельсовет, посёлок Новозалесье, 4",near,
72,113,Борздовский ФАП,"211034, д. Борздовка, Оршанский р-н, Витебская обл.",54.415906,30.6510418,54.416179,30.653877,0.18594286872568197,"Беларусь, Витебская область, Оршанский район, агрогородок Борздовка",other,
73,1473,Путьковский ФАП,"213201, д. Путьки, Чаусский р-н, Могилевская обл.",53.84205129999999,31.0714026,53.842029,31.071441,0.0035348929612144964,"Беларусь, Могилёвская область, Чаусский район, Радомльский сельсовет, деревня Путьки",other,
74,764,Козловский ФАП,"д. Козлы, Несвижский р-н, Минская обл.",53.1725749,26.507213,53.171093,26.511341,0.3207092511824535,"Беларусь, Минская область, Несвижский район, Козловский сельсовет, деревня Козлы",other,
75,2016,Черский ФАП,"ул. Новая, 11, 225022, д. Черск, Брестский р-н, Брестская обл.",52.1599914,23.7710616,51.713411,23.690667,49.96238754382537,"Беларусь, Брестский район, Домачевский сельсовет, деревня Черск, Новая улица, 11",exact,
76,2381,Лобковичский ФАП,"ул. Шоссейная, 3, д. Лобковичи, Кричевский р-н, Могилевская обл.",53.8018629,31.730273,53.833549,31.752723,3.8191274985714974,"Беларусь, Могилёвская область, Кричевский район, деревня Лобковичи, Шоссейная улица, 3",exact,
77,828,Крайский ФАП,"д. Краи, Ивацевичский р-н, Брестская обл.",52.4989997,26.004911,52.49493,26.002778,0.4750088267822197,"Беларусь, Брестская область, Ивацевичский район, Речковский сельсовет, деревня Краи",other,
78,434,Добринский ФАП,"ул. Центральная, 25, 211054, д. Добринь, Дубровенский р-н, Витебская обл.",54.622626,28.7068075,54.646698,31.015979,148.6317196302189,"Беларусь, Витебская область, Дубровенский район, Волевковский сельсовет, урочище Бель, Центральная улица, 17",near,
79,659,Игрушковский ФАП,"ул. Южная, 11, 220010, д. Игрушка, Крупский р-н, Минская обл.",54.3128289,29.1388201,54.399572,29.043782,11.443696806489472,"Беларусь, Минская область, Крупский район, Игрушковский сельсовет, агрогородок Игрушка, Южная улица, 11",exact,
80,122,Боровиковский ФАП,"ул. Ленина, 18, 225656, д. Боровики, Лунинецкий р-н, Брестская обл.",52.2140424,24.3584893,52.517256,26.94008,178.4872721074519,"Беларусь, Брестская область, Лунинецкий район, Чучевичский сельсовет, деревня Боровики, улица Ленина, 18",exact,
81,963,Лотвичский ФАП,"ул. Центральная, 37, 225333, д. Лотвичи, Барановичский р-н, Брестская обл.",53.1246898,25.9763066,53.188843,25.667688,21.77870365917847,"Беларусь, Брестская область, Барановичский район, Полонковский сельсовет, деревня Лотвичи, Центральная улица, 37",exact,
82,1974,Хорошевский ФАП,"ул. Комсомольская, 26, 247066, д. Хорошевка, Добрушский р-н, Гомельская обл.",52.3532097,31.5989994,52.350856,31.601016,0.2953921279543466,"Беларусь, Гомельская область, Добрушский район, Кормянский сельсовет, деревня Хорошевка, Комсомольская улица, 26",exact,
83,1340,Первомайский ФАП,"ул. Советская, 47а, 247539, д. Первомайск, Речицкий р-н, Гомельская обл.",52.36911800000001,30.3933367,52.170491,30.060818,31.6188036936869,"Беларусь, Гомельская область, Речицкий район, Короватичский сельсовет, деревня Первомайск, Советская улица, 47",number,
84,2008,Черниховский ФАП,"ул. Торговая, 1а, 225363, д. Чернихово, Барановичский р-н, Брестская обл.",53.3072345,26.250972,53.244144,26.243248,7.034117073325893,"Беларусь, Брестская область, Барановичский район, Вольновский сельсовет, деревня Чернихово, Торговая улица, 1А",exact,
85,2040,Шепелевский ФАП,"д. Шепели, Минский р-н, Минская обл.",54.1614473,27.4978096,54.163401,27.497727,0.21730807524210502,"Беларусь, Минский район, Юзуфовский сельсовет, деревня Шепели",other,
86,1989,Чахецкий ФАП,"д. 26""Б"", 225132, д. Чахец, Пружанский р-н, Брестская обл.",52.4908652,24.4119326,52.490944,24.41143,0.03513862343036269,"Беларусь, Брестская область, Пружанский район, Шеневской сельсовет, деревня Чахец, 26Б",exact,
87,569,Задубровский ФАП,"211331, п/о Задубровье, д. Задубровье, Витебский р-н, Витебская обл.",55.34735629999999,30.6605527,55.349834,30.659303,0.28661316793575314,"Беларусь, Витебский район, Задубровский сельсовет, агрогородок Задубровье",other,
88,1103,Моисеевский ФАП,"пер. Минский, 5, 247312, д. Моисеевка, Октябрьский р-н, Гомельская обл.",52.6981869,29.1294241,52.698643,29.131197,0.12978661410509054,"Беларусь, Гомельская область, Октябрьский район, Протасовский сельсовет, агрогородок Мойсеевка, Минский переулок, 5",exact,
89,1426,Поречский ФАП,"д. Поречье, Пуховичский р-н, Минская обл.",53.3289516,27.9221862,53.329413,27.917375,0.32359270250363126,"Беларусь, Минская область, Пуховичский район, Шацкий сельсовет, деревня Поречье",other,
90,1499,Рачканский ФАП,"ул. Интернациональная, 225396, д. Рачканы, Ляховичский р-н, Брестская обл.",53.0459749,26.2535343,52.991678,26.356184,9.143112973663568,"Беларусь, Брестская область, Ляховичский район, Начевский сельсовет, деревня Рачканы, Интернациональная улица",street,
91,1985,Цеперский ФАП,"ул. Луговая, 20, 222642, д. Цепра, Клецкий р-н, Минская обл.",53.0170916,26.7105557,53.024449,26.711728,0.8218546117750997,"Беларусь, Минская область, Клецкий район, Краснозвёздовский сельсовет, деревня Цепра, Луговая улица, 20",exact,
92,240,Войниловский ФАП,"ул. Окружная, 28а, 213211, д. Войнилы, Чаусский р-н, Могилевская обл.",53.79816049999999,30.7425045,53.798778,30.738355,0.2810343602447574,"Беларусь, Могилёвская область, Чаусский район, агрогородок Войнилы, Окружная улица, 28",number,
93,215,Веркудский ФАП,"ул. Школьная, 13, 211493, д. Веркуды, Ушачский р-н, Витебская обл.",55.2040412,28.9226739,55.204521,28.924683,0.13819808244766252,"Беларусь, Витебская область, Ушачский район, агрогородок Веркуды, Школьная улица, 13",exact,
94,592,Заозерский ФАП,"213171, д. Заозерье, Белыничский р-н, Могилевская обл.",54.0569904,29.4687687,54.05617,29.467266,0.13394687619151702,"Беларусь, Могилёвская область, Белыничский район, Мощаницкий сельсовет, деревня Заозерье",other,
95,392,Гутовский ФАП,"ул. Комсомольская, 6, 225846, д. Гутово, Дрогичинский р-н, Брестская обл.",52.1885099,25.3391289,52.185336,25.335132,0.4458672708554206,"Беларусь, Брестская область, Дрогичинский сельсовет, деревня Гутово, Комсомольская улица, 6",exact,
96,421,Дербичский ФАП,"247365, д. Дербичи, Буда-Кошелевский р-н, Гомельская обл.",52.8921638,30.6719743,52.894358,30.671385,0.24716589276395604,"Беларусь, Гомельская область, Буда-Кошелёвский район, Рогинский сельсовет, деревня Дербичи",other,
97,1425,Поречский ФАП,"ул. Центральная, 6, 231315, д. Поречье, Лидский р-н, Гродненская обл.",53.8864672,25.3391134,53.637909,25.18514,29.433203998856566,"Беларусь, Гродненская область, Лидский район, Белицкий сельсовет, деревня Поречье, 6",exact,
98,818,Костровичский ФАП,"231809, д. Костровичи, Слонимский р-н, Гродненская обл.",53.2041476,25.1445201,53.204223,25.144384,0.012347410284716089,"Беларусь, Гродненская область, Слонимский район, Сеньковщинский сельсовет, деревня Костровичи",other,
99,1616,Сиротинский ФАП,"ул. Герасименко, 4, 211271, д. Сиротино, Шумилинский р-н, Витебская обл.",55.3758171,29.6172394,55.369863,29.627049,0.9069200368679552,"Беларусь, Витебская область, Шумилинский район, Сиротинский сельсовет, деревня Сиротино, улица Герасименко, 4А",number,
100,303,Гирейшинский ФАП,"211985, д. Гирейши, Браславский р-н, Витебская обл.",55.53104219999999,26.5971589,55.531051,26.591543,0.3534202461778845,"Беларусь, Витебская область, Браславский район, Видзовский сельсовет, деревня Гирейши",other,
101,1906,ФАП д. Минковичи,"ул. Юбилейная, 7/2, 225087, д. Минковичи, Каменецкий р-н, Брестская обл.",52.3435,23.5467359,52.343489,23.54673,0.0012871367093840564,"Беларусь, Брестская область, Каменецкий район, Ратайчицкий сельсовет, деревня Минковичи, Юбилейная улица, 7",number,
102,1717,Стародорожский ФАП,"222919, ул. Московская, 84а, аг. Старые Дороги, Стародорожский р-н, Минская обл.",53.034755,28.242503,53.040088,28.313326,4.772266204929518,"Беларусь, Минская область, Стародорожский сельсовет, агрогородок Старые Дороги, Московская улица, 84",number,
103,1737,Степской ФАП,"ул. Молодежная, 10, 247234, д. Степы, Жлобинский р-н, Гомельская обл.",52.6261799,29.718712,52.928685,29.618084,34.31126274555166,"Беларусь, Гомельская область, Жлобинский район, Щедринский сельсовет, деревня Степы, Молодёжная улица, 10",exact,
104,1507,Репищанский ФАП,"ул. Центральная, 16, 213137, д. Репище, Могилевский р-н, Могилевская обл.",53.90344109999999,30.252469,53.710489,30.051404,25.19180495784667,"Беларусь, Могилёвский район, Заводскослободский сельсовет, деревня Репище, Центральная улица, 16",exact,
105,2926,Косинский ФАП,"223127, д. Косино, Логойский р-н, Минская обл.",54.1261509,27.9533634,54.360789,27.826618,27.359435466724257,"Беларусь, Минская область, Логойский район",other,
